Gene_ID,Metabolism,Module,Acinetobacter calcoaceticus,Buttiauxella agretis,Citrobacter youngae,Escherichia coli,Enterobacter cloacae,Serratia fonticola,Staphyloccocus epidermis,Bacillus subitlis
K08093,Energy metabolism ,"Formaldehyde assimilation, ribulose monophosphate pathway (M00345)",0,0,0,0,0,0,1,1
K13812,Energy metabolism ,"Formaldehyde assimilation, ribulose monophosphate pathway (M00345)",0,0,0,0,0,0,0,0
K08094,Energy metabolism ,"Formaldehyde assimilation, ribulose monophosphate pathway (M00345)",0,0,0,0,0,0,1,1
K13831,Energy metabolism ,"Formaldehyde assimilation, ribulose monophosphate pathway (M00345)",0,0,0,0,0,0,0,0
K00850,Energy metabolism ,"Formaldehyde assimilation, ribulose monophosphate pathway (M00345)",0,0,0,0,0,0,1,1
K16370,Energy metabolism ,"Formaldehyde assimilation, ribulose monophosphate pathway (M00345)",0,0,0,0,0,0,0,0
K21071,Energy metabolism ,"Formaldehyde assimilation, ribulose monophosphate pathway (M00345)",0,0,0,0,0,0,0,0
K01624,Energy metabolism ,"Formaldehyde assimilation, ribulose monophosphate pathway (M00345)",0,0,0,0,0,0,1,1
K13811,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,0,0,0,0,0,0,0
K00958,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,0,0,0,0,0,1,1
K00860,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,1,1,1,1,1,1,1
K00955,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,0,0,0,0,0,0,0
K00957,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,1,1,1,1,1,0,0
K00956,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,1,1,1,1,1,0,0
K00957,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,1,1,1,1,1,0,0
K00860,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,1,1,1,1,1,1,1
K00390,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,1,1,1,1,1,1,1
K13811,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,0,0,0,0,0,0,0
K05907,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,0,0,0,0,0,0,0
K00380,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,1,1,1,1,1,1,1
K00381,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,1,1,1,1,1,1,1
K00392,Energy metabolism ,"	Assimilatory sulfate reduction (M00176)",0,0,0,0,0,0,0,0
K00367,Energy metabolism ,Assimilatory nitrate reduction (M00531),0,0,0,0,0,0,0,0
